Author,Title,Status
Gabrielle Zevin,"Tomorrow, and Tomorrow, and Tomorrow",Finished
Neil Gaiman,American Gods,Finished
Terry Pratchett,Discworld Series,To Be Read
Brandon Sanderson,Way of Kings,Reading
James S. A. Corey,Leviathan Wakes,Finished
J.K. Rowling,Harry Potter Series,Finished
J.R.R. Tolkien,The Lord of the Rings Series,To Be Read
F. Scott Fitzgerald,The Great Gatsby,Finished
Agatha Christie,Murder on the Orient Express,To Be Read
George R.R. Martin,A Song of Ice and Fire Series,To Be Read
John Green,The Fault in Our Stars,Finished
James Clavell,Shogun,To Be Read
Liu Cixin,The Three-Body Problem,To Be Read
Brandon Sanderson,The Final Empire,To Be Read
Kevin Kwan,Crazy Rich Asians,Reading
Terry Pratchett + Neil Gaiman,Good Omens,Reading
Leigh Bardugo,Six of Crows,Finished
Philip K. Dick,Do Androids Dream of Electric Sheep?,To Be Read
